DBA,ZIPCODE
Dunkin,11371
Burger King,10029
Dunkin,10303
Papa John's,11427
Dunkin Donuts,11432
Panda Express,10065
Starbucks Coffee Company,10281
Dunkin Donuts,11432
Wendy's,10301
Peppa's Jerk Chicken,11225
Popeyes,10302
"Dunkin',' Baskin Robbins",10453
Dunkin' / Baskin Robbins,11222
Kennedy Fried Chicken,10451
Don Chicken,11101
"Dunkin',' Baskin Robbins",10458
Dunkin,10475
Chipotle Mexican Grill,10022
Subway,11234
Dunkin,10452
Panda Express # 2792,10025
Taco Bell,11214
"Dunkin', 'Baskin Robbins",11375
Domino's,10452
Kfc,11373
"Dunkin', Baskin Robbins",11423
Wendy's,11430
Dunkin,11364
Starbucks,10023
Starbucks,10003
Chicken Rice,10012
Dunkin,11416
Subway,10011
Bb.q Chicken,10001
Subway,11232
Burger King,11201
"Dunkin',' Baskin Robbins",10458
Big Arc Chicken,10003
Taco Bell,10460
Dunkin,11249
Dunkin,11209
Dunkin'/Baskin Robbins,10462
Subway,10036
Sonic,11101
Starbucks,10016
Domino's,11216
Panda Express # 2792,10025
Panda Express # 2792,10025
Papa John's,10455
Kennedy Fried Chicken,11207
Chipotle Mexican Grill,10003
Subway,11217
Kfc / Taco Bell,11222
Dunkin',11418
Burger King,11368
Dunkin,10451
Subway,10032
Subway,11106
Subway,10468
Dunkin,10031
Starbucks,10011
Kentucky Fried Chicken,10029
Chipotle Mexican Grill #3056,11213
Kfc,11232
Shake Shack,10024
Kennedy Fried Chicken,10472
Taco Bell,11419
Taco Bell Cantina,10038
Papa John's,11226
Starbucks,10310
Kennedy Fried Chicken,11368
Kennedy Chicken,10002
Subway,11426
Kennedy Fried Chicken,10466
Dunkin',10022
"Dunkin',' Baskin Robbins",11435
Chick-Fil-A,10314
Shake Shack,10475
Popeyes,10460
Gai Chicken & Rice,10038
Starbucks,10016
Kennedy Fried Chicken,10466
Starbucks Coffee # 26528,10018
Starbucks Coffee #49952,10001
Dunkin,11368
Starbucks Coffee,10017
Rego Park Best Pizza & Halal Chicken,11374
Subway,11207
Subway,10128
Dunkin,10470
Dunkin'/Hudson News,10121
Dunkin,10454
Sonic,11207
Taco Bell,11374
Dunkin,10465
Chipotle Mexican Grill #3056,10459
Starbucks Coffee #29719,11215
Chipotle Mexican Grill,10014
Super Kennedy's Chicken & Sandwich,10468
Chick Chick,10024
"Dunkin',' Baskin Robbins",10458
Subway,10301
Papa John's,11208
Qdoba,10468
Dunkin',10468
Little Caesars,10458
Dunkin,11417
Chick-Fil-A,11422
Domino's,11229
Popeyes,10452
Texas Chicken And Burgers,11203
Dunkin',10461
Mama's Fried Chicken,10039
