"County","License Number","Operation Type","Establishment Type","Entity Name","DBA Name","Street Number","Street Name","Address Line 2","Address Line 3","City","State","Zip Code","Square Footage","Georeference"
"ONONDAGA","739102","Store","AC","FASTRAC EG LLC","FASTRAC EG 258 - BALDWINSVILLE","2232","DOWNER ST  #####",,,"BALDWINSVILLE","NY","13027","5,000",
"TOMPKINS","739093","Store","AC","FASTRAC EG LLC","FASTRAC EG 256 - ITHACA","214","N MEADOW ST",,,"ITHACA","NY","14850",,"POINT (-76.50843 42.44076)"
"MONROE","739092","Store","AC","FASTRAC EG LLC","FASTRAC EG 255 - CHILI","1064","SCOTTSVILLE RD",,,"ROCHESTER","NY","14624",,"POINT (-77.64849 43.12168)"
"CLINTON","739090","Store","AC","JENSEN ELIZABETH","LAKESHORE CANDY & LICKS","20","SKYWAY SHOPPING CENTER  ##",,,"PLATTSBURGH","NY","12901",,"POINT (-73.45033 44.68156)"
"ONEIDA","739089","Store","AC","FASTRAC EG LLC","FASTRAC EG 254 - ERIE BLVD W","1336","ERIE BLVD W",,,"ROME","NY","13440","5,457","POINT (-75.49327 43.22931)"
"ONEIDA","739086","Store","AC","FASTRAC EG LLC","FASTRAC EG 248 - HERKIMER RD (UTICA)","1301","HERKIMER RD",,,"UTICA","NY","13502",,"POINT (-75.18038 43.11004)"
"ONEIDA","739085","Store","AC","FASTRAC EG LLC","FASTRAC EG 246 - PARKWAY (UTICA)","1668/1672","ONEIDA ST",,,"UTICA","NY","13501",,"POINT (-75.25013 43.08698)"
"ULSTER","739078","Store","AC","GRACE PETROL INC","NEW PALTZ SUNOCO A PLUS","270","MAIN STREET ####",,,"NEW PALTZ","NY","12561","1,700","POINT (-74.06774 41.74198)"
"SUFFOLK","739077","Store","AC","CARIBE MINI MARKET NY CORP","CARIBE MINI MARKET NY","142","E MAIN STREET",,,"PATCHOGUE","NY","11772","2,500","POINT (-73.01196 40.76577)"
"WESTCHESTER","739073","Store","AC","MANOS MART LLC","MANO'S MART","146","TUCKAHOE ROAD",,,"YONKERS","NY","10710",,"POINT (-73.86464 40.9546)"
"ONEIDA","739072","Store","AC","FASTRAC EG LLC","FASTRAC EG 242 - ORISKANY BLVD (UTICA)","1400-1410","ORISKANY ST W",,,"UTICA","NY","13502",,"POINT (-75.25093 43.10938)"
"HERKIMER","739071","Store","AC","FASTRAC EG LLC","FASTRAC EG 236 - ILLION","114","CENTRAL AVE",,,"ILION","NY","13357",,"POINT (-75.03329 43.01809)"
"QUEENS","739070","Store","AC","LUGO MIGUEL&MEREJO EULOGIO","QUISQUEYA GROCERY","94-27","37TH AVENUE",,,"JACKSON HEIGHTS","NY","11372",,"POINT (-73.87269 40.751)"
"ONEIDA","739069","Store","AC","FASTRAC EG LLC","FASTRAC EG 235 - CAMDEN","24","MAIN ST",,,"CAMDEN","NY","13316","5,000","POINT (-75.74846 43.33377)"
"ONEIDA","739068","Store","AC","FASTRAC EG LLC","FASTRAC EG 231 - MARCY","9249","RT 49",,,"MARCY","NY","13403",,"POINT (-75.27557 43.13822)"
"HERKIMER","739062","Store","AC","FASTRAC EG LLC","FASTRAC EG 229 - MOHAWK","1","W MAIN ST",,,"MOHAWK","NY","13407",,"POINT (-75.00473 43.01129)"
"ONEIDA","739061","Store","AC","FASTRAC EG LLC","FASTRAC EG 228 - UPTOWN","1800","GENESEE ST",,,"UTICA","NY","13502",,"POINT (-75.25828 43.08869)"
"ALBANY","739058","Store","AC","SHREEJA INC","SHREEJA","616","BROADWAY",,,"WATERVLIET","NY","12189",,"POINT (-73.70512 42.71275)"
"QUEENS","739054","Store","AC","MI PUEBLITO GROCERY INC","MI PUEBLITO GROCERY","32-63","81ST STREET",,,"EAST ELMHURST","NY","11370","900","POINT (-73.88636 40.75571)"
"NASSAU","739052","Store","AC","115 JERICHO CONVENIENCE INC","7 ELEVEN STORE #25690D","115","JERICHO TURNPIKE ####",,,"JERICHO","NY","11753","1,800","POINT (-73.5589 40.7802)"
"BRONX","739051","Store","AC","2470 EL DUKE GOURMET DELI CORP","2470 EL DUKE GOURMET DELI","2470","BEAUMONT AVENUE",,,"BRONX","NY","10458","1,200","POINT (-73.88336 40.85594)"
"MONTGOMERY","739045","Store","AC","263 BOTTOMS UP DELI & GROCERY INC","263 BOTTOMS UP DELI & GROCERY","263","DIVISION STREET",,,"AMSTERDAM","NY","12010","1,000","POINT (-74.20616 42.94783)"
"NEW YORK","739043","Store","AC","245 EMPIRE GROCERY & DELI CORP","245 EMPIRE GROCERY & DELI","245","9TH AVENUE",,,"NEW YORK","NY","10001",,"POINT (-74.00046 40.74768)"
"SUFFOLK","739039","Store","AC","PLAZA DELI & GRILL CORP","PLAZA DELI & GRILL","763","COMMACK RD",,,"BRENTWOOD","NY","11717","1,800","POINT (-73.23258 40.75978)"
"KINGS","739038","Store","AC","CIELO AZUL DELI GROCERY INC","CIELO AZUL DELI GROCERY","6910","8TH AVENUE",,,"BROOKLYN","NY","11228","800","POINT (-74.01517 40.6301)"
"QUEENS","739037","Store","AC","ASTORIA TOWN DELI GROCERY CORP","ASTORIA TOWN DELI GROCERY","2420","DITMARS BLVD",,,"ASTORIA","NY","11105","1,000","POINT (-73.91459 40.77889)"
"FULTON","739032","Store","AC","K2 LIQUOR LLC","SNYDERS CONVENIENT CRNR","60","ELMWOOD AVE",,,"GLOVERSVILLE","NY","12078","3,000","POINT (-74.32365 43.05588)"
"HERKIMER","739029","Store","AC","FASTRAC EG LLC","FASTRAC EG 226 - OLD FORGE","2903","RT 28",,,"OLD FORGE","NY","13420","4,800","POINT (-74.9834 43.70495)"
"JEFFERSON","739023","Store","AC","FASTRAC EG LLC","FASTRAC EG 224 - WATERTOWN","1709","STATE ST",,,"WATERTOWN","NY","13601","3,600","POINT (-75.88118 43.96724)"
"DUTCHESS","739019","Store","AC","GOLDEN RUSSET CAFE & GROCERY LLC","GOLDEN RUSSET CAFE & GROCERY","835","FIDDLERS BRIDGE ROAD",,,"RHINEBECK","NY","12572","2,000",
"JEFFERSON","739016","Store","ABC","FASTRAC EG LLC","FASTRAC EG 222 - WATERTOWN WEST","20852","STATE RT 3",,,"WATERTOWN","NY","13601","3,600","POINT (-75.95706 43.97405)"
"BRONX","739014","Store","AC","JB GOURMET DELI CORP","JB GOURMET DELI","1822-1824","ARCHER STREET",,,"BRONX","NY","10460",,"POINT (-73.86618 40.83761)"
"ONEIDA","739013","Store","AC","FASTRAC EG LLC","FASTRAC EG 221 - N UTICA","384","N GENESEE ST",,,"UTICA","NY","13502",,"POINT (-75.21098 43.11615)"
"ONTARIO","739012","Store","AC","FASTRAC EG LLC","FASTRAC EG220 - GENEVA","371","HAMILTON ST",,,"GENEVA","NY","14456",,"POINT (-76.9978 42.85807)"
"MONROE","739011","Store","AC","CALABRESELLAS ON PARK INC","CALABRESELLAS ON PARK","210","PARK AVENUE",,,"ROCHESTER","NY","14607",,"POINT (-77.59006 43.15062)"
"OSWEGO","739010","Store","AC","FASTRAC EG LLC","FASTRAC EG 219 - MEXICO","3364","MAIN ST",,,"MEXICO","NY","13114","3,500","POINT (-76.23762 43.46019)"
"RICHMOND","739009","Store","AC","GERARDIS FARMERS MARKET LLC","GERARDIS FARM MARKET","644","RICHMOND TERR ####",,,"STATEN ISLAND","NY","10301","3,000","POINT (-74.09383 40.64525)"
"KINGS","739004","Store","AC","EL DESECHO DELI GROCERY CORP","EL DESECHO DELI GROCERY","1874","FULTON STREET",,,"BROOKLYN","NY","11233",,"POINT (-73.92441 40.67902)"
"ONONDAGA","739003","Store","AC","FASTRAC EG LLC","FASTRAC EG 218 - CICERO","5858","RT 31",,,"CICERO","NY","13039","2,100","POINT (-76.11441 43.17509)"
"OSWEGO","739000","Store","ABC","FASTRAC EG LLC","FASTRAC EG 212 - FULTON","258","SOUTH SECOND ST",,,"FULTON","NY","13069","3,600","POINT (-76.41311 43.31911)"
